fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
1,chance_100/change_45,alt_model,test,0.98125,0.07602942251461989
2,chance_100/change_45,alt_model,test,0.984375,0.07602942251461989
3,chance_100/change_45,alt_model,test,0.9875,0.07602942251461989
4,chance_100/change_45,alt_model,test,0.98125,0.07602942251461989
0,chance_100/change_45,alt_model,val,0.9921875,0.07602942251461989
1,chance_100/change_45,alt_model,val,0.9921875,0.07602942251461989
2,chance_100/change_45,alt_model,val,0.96484375,0.07602942251461989
3,chance_100/change_45,alt_model,val,0.9921875,0.07602942251461989
4,chance_100/change_45,alt_model,val,0.984375,0.07602942251461989
0,chance_100/change_45,benchmark_model,test,0.784375,0.07602942251461989
1,chance_100/change_45,benchmark_model,test,0.75,0.07602942251461989
2,chance_100/change_45,benchmark_model,test,0.753125,0.07602942251461989
3,chance_100/change_45,benchmark_model,test,0.746875,0.07602942251461989
4,chance_100/change_45,benchmark_model,test,0.690625,0.07602942251461989
0,chance_100/change_45,benchmark_model,val,0.8046875,0.07602942251461989
1,chance_100/change_45,benchmark_model,val,0.70703125,0.07602942251461989
2,chance_100/change_45,benchmark_model,val,0.7578125,0.07602942251461989
3,chance_100/change_45,benchmark_model,val,0.7265625,0.07602942251461989
4,chance_100/change_45,benchmark_model,val,0.71875,0.07602942251461989
0,chance_100/change_5,alt_model,test,0.984375,0.00611421783625731
1,chance_100/change_5,alt_model,test,0.990625,0.00611421783625731
2,chance_100/change_5,alt_model,test,1.0,0.00611421783625731
3,chance_100/change_5,alt_model,test,0.98125,0.00611421783625731
4,chance_100/change_5,alt_model,test,0.9875,0.00611421783625731
0,chance_100/change_5,alt_model,val,0.984375,0.00611421783625731
1,chance_100/change_5,alt_model,val,0.9921875,0.00611421783625731
2,chance_100/change_5,alt_model,val,0.984375,0.00611421783625731
3,chance_100/change_5,alt_model,val,0.9921875,0.00611421783625731
4,chance_100/change_5,alt_model,val,0.99609375,0.00611421783625731
0,chance_100/change_5,benchmark_model,test,0.98125,0.00611421783625731
1,chance_100/change_5,benchmark_model,test,0.9875,0.00611421783625731
2,chance_100/change_5,benchmark_model,test,0.990625,0.00611421783625731
3,chance_100/change_5,benchmark_model,test,0.98125,0.00611421783625731
4,chance_100/change_5,benchmark_model,test,0.990625,0.00611421783625731
0,chance_100/change_5,benchmark_model,val,0.9765625,0.00611421783625731
1,chance_100/change_5,benchmark_model,val,0.98828125,0.00611421783625731
2,chance_100/change_5,benchmark_model,val,0.9765625,0.00611421783625731
3,chance_100/change_5,benchmark_model,val,1.0,0.00611421783625731
4,chance_100/change_5,benchmark_model,val,0.9921875,0.00611421783625731
0,chance_100/change_50,alt_model,test,0.9875,0.08240515350877194
1,chance_100/change_50,alt_model,test,0.984375,0.08240515350877194
2,chance_100/change_50,alt_model,test,0.98125,0.08240515350877194
3,chance_100/change_50,alt_model,test,0.99375,0.08240515350877194
4,chance_100/change_50,alt_model,test,0.990625,0.08240515350877194
0,chance_100/change_50,alt_model,val,0.9921875,0.08240515350877194
1,chance_100/change_50,alt_model,val,0.984375,0.08240515350877194
2,chance_100/change_50,alt_model,val,0.98828125,0.08240515350877194
3,chance_100/change_50,alt_model,val,0.98828125,0.08240515350877194
4,chance_100/change_50,alt_model,val,0.9921875,0.08240515350877194
0,chance_100/change_50,benchmark_model,test,0.703125,0.08240515350877194
1,chance_100/change_50,benchmark_model,test,0.6875,0.08240515350877194
2,chance_100/change_50,benchmark_model,test,0.6625,0.08240515350877194
3,chance_100/change_50,benchmark_model,test,0.63125,0.08240515350877194
4,chance_100/change_50,benchmark_model,test,0.703125,0.08240515350877194
0,chance_100/change_50,benchmark_model,val,0.734375,0.08240515350877194
1,chance_100/change_50,benchmark_model,val,0.6796875,0.08240515350877194
2,chance_100/change_50,benchmark_model,val,0.68359375,0.08240515350877194
3,chance_100/change_50,benchmark_model,val,0.6796875,0.08240515350877194
4,chance_100/change_50,benchmark_model,val,0.6640625,0.08240515350877194
0,chance_15/change_10,alt_model,test,0.990625,0.004043311403508772
1,chance_15/change_10,alt_model,test,0.99375,0.004043311403508772
2,chance_15/change_10,alt_model,test,0.9875,0.004043311403508772
3,chance_15/change_10,alt_model,test,0.996875,0.004043311403508772
4,chance_15/change_10,alt_model,test,0.9875,0.004043311403508772
0,chance_15/change_10,alt_model,val,0.98828125,0.004043311403508772
1,chance_15/change_10,alt_model,val,0.984375,0.004043311403508772
2,chance_15/change_10,alt_model,val,0.9921875,0.004043311403508772
3,chance_15/change_10,alt_model,val,0.99609375,0.004043311403508772
