fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
3,chance_10/change_35,benchmark_model,val,0.83125,1.1415525114155251e-06
4,chance_10/change_35,benchmark_model,val,0.88125,1.1415525114155251e-06
0,chance_10/change_40,alt_model,test,0.905,0.0014761415525114156
1,chance_10/change_40,alt_model,test,0.88,0.0014761415525114156
2,chance_10/change_40,alt_model,test,0.85,0.0014761415525114156
3,chance_10/change_40,alt_model,test,0.825,0.0014761415525114156
4,chance_10/change_40,alt_model,test,0.9,0.0014761415525114156
0,chance_10/change_40,alt_model,val,0.85625,0.0014761415525114156
1,chance_10/change_40,alt_model,val,0.875,0.0014761415525114156
2,chance_10/change_40,alt_model,val,0.9,0.0014761415525114156
3,chance_10/change_40,alt_model,val,0.9,0.0014761415525114156
4,chance_10/change_40,alt_model,val,0.8625,0.0014761415525114156
0,chance_10/change_40,benchmark_model,test,0.825,0.0014761415525114156
1,chance_10/change_40,benchmark_model,test,0.765,0.0014761415525114156
2,chance_10/change_40,benchmark_model,test,0.765,0.0014761415525114156
3,chance_10/change_40,benchmark_model,test,0.705,0.0014761415525114156
4,chance_10/change_40,benchmark_model,test,0.735,0.0014761415525114156
0,chance_10/change_40,benchmark_model,val,0.74375,0.0014761415525114156
1,chance_10/change_40,benchmark_model,val,0.78125,0.0014761415525114156
2,chance_10/change_40,benchmark_model,val,0.75625,0.0014761415525114156
3,chance_10/change_40,benchmark_model,val,0.8125,0.0014761415525114156
4,chance_10/change_40,benchmark_model,val,0.775,0.0014761415525114156
0,chance_10/change_45,alt_model,test,0.88,0.00027808219178082193
1,chance_10/change_45,alt_model,test,0.845,0.00027808219178082193
2,chance_10/change_45,alt_model,test,0.88,0.00027808219178082193
3,chance_10/change_45,alt_model,test,0.825,0.00027808219178082193
4,chance_10/change_45,alt_model,test,0.86,0.00027808219178082193
0,chance_10/change_45,alt_model,val,0.88125,0.00027808219178082193
1,chance_10/change_45,alt_model,val,0.88125,0.00027808219178082193
2,chance_10/change_45,alt_model,val,0.825,0.00027808219178082193
3,chance_10/change_45,alt_model,val,0.8375,0.00027808219178082193
4,chance_10/change_45,alt_model,val,0.8875,0.00027808219178082193
0,chance_10/change_45,benchmark_model,test,0.88,0.00027808219178082193
1,chance_10/change_45,benchmark_model,test,0.845,0.00027808219178082193
2,chance_10/change_45,benchmark_model,test,0.885,0.00027808219178082193
3,chance_10/change_45,benchmark_model,test,0.825,0.00027808219178082193
4,chance_10/change_45,benchmark_model,test,0.86,0.00027808219178082193
0,chance_10/change_45,benchmark_model,val,0.85625,0.00027808219178082193
1,chance_10/change_45,benchmark_model,val,0.875,0.00027808219178082193
2,chance_10/change_45,benchmark_model,val,0.81875,0.00027808219178082193
3,chance_10/change_45,benchmark_model,val,0.84375,0.00027808219178082193
4,chance_10/change_45,benchmark_model,val,0.8875,0.00027808219178082193
0,chance_10/change_5,alt_model,test,0.885,1.9406392694063926e-06
1,chance_10/change_5,alt_model,test,0.84,1.9406392694063926e-06
2,chance_10/change_5,alt_model,test,0.88,1.9406392694063926e-06
3,chance_10/change_5,alt_model,test,0.81,1.9406392694063926e-06
4,chance_10/change_5,alt_model,test,0.86,1.9406392694063926e-06
0,chance_10/change_5,alt_model,val,0.85625,1.9406392694063926e-06
1,chance_10/change_5,alt_model,val,0.875,1.9406392694063926e-06
2,chance_10/change_5,alt_model,val,0.8125,1.9406392694063926e-06
3,chance_10/change_5,alt_model,val,0.8375,1.9406392694063926e-06
4,chance_10/change_5,alt_model,val,0.88125,1.9406392694063926e-06
0,chance_10/change_5,benchmark_model,test,0.885,1.9406392694063926e-06
1,chance_10/change_5,benchmark_model,test,0.845,1.9406392694063926e-06
2,chance_10/change_5,benchmark_model,test,0.88,1.9406392694063926e-06
3,chance_10/change_5,benchmark_model,test,0.815,1.9406392694063926e-06
4,chance_10/change_5,benchmark_model,test,0.86,1.9406392694063926e-06
0,chance_10/change_5,benchmark_model,val,0.85625,1.9406392694063926e-06
1,chance_10/change_5,benchmark_model,val,0.875,1.9406392694063926e-06
2,chance_10/change_5,benchmark_model,val,0.8125,1.9406392694063926e-06
3,chance_10/change_5,benchmark_model,val,0.83125,1.9406392694063926e-06
4,chance_10/change_5,benchmark_model,val,0.88125,1.9406392694063926e-06
0,chance_10/change_50,alt_model,test,0.895,0.0024878995433789955
1,chance_10/change_50,alt_model,test,0.84,0.0024878995433789955
2,chance_10/change_50,alt_model,test,0.84,0.0024878995433789955
3,chance_10/change_50,alt_model,test,0.795,0.0024878995433789955
4,chance_10/change_50,alt_model,test,0.85,0.0024878995433789955
0,chance_10/change_50,alt_model,val,0.86875,0.0024878995433789955
1,chance_10/change_50,alt_model,val,0.89375,0.0024878995433789955
2,chance_10/change_50,alt_model,val,0.8375,0.0024878995433789955
3,chance_10/change_50,alt_model,val,0.8625,0.0024878995433789955
4,chance_10/change_50,alt_model,val,0.875,0.0024878995433789955
0,chance_10/change_50,benchmark_model,test,0.57,0.0024878995433789955
1,chance_10/change_50,benchmark_model,test,0.59,0.0024878995433789955
2,chance_10/change_50,benchmark_model,test,0.68,0.0024878995433789955
3,chance_10/change_50,benchmark_model,test,0.6,0.0024878995433789955
4,chance_10/change_50,benchmark_model,test,0.695,0.0024878995433789955
0,chance_10/change_50,benchmark_model,val,0.55625,0.0024878995433789955
1,chance_10/change_50,benchmark_model,val,0.56875,0.0024878995433789955
